epoch,accuracy,loss,val_accuracy,val_loss
0,0.5689367055892944,1.0106984376907349,0.6346816420555115,0.8166016936302185
1,0.608965277671814,0.880707323551178,0.6437198519706726,0.7801855206489563
2,0.6185911893844604,0.8502854704856873,0.6442062258720398,0.7767962217330933
3,0.6209115386009216,0.8341745138168335,0.6448344588279724,0.7719828486442566
4,0.625,0.8224724531173706,0.6389575600624084,0.7457403540611267
5,0.626448929309845,0.8148178458213806,0.6464759111404419,0.7499628067016602
6,0.6288756728172302,0.808958113193512,0.6320674419403076,0.7490952014923096
7,0.6301676034927368,0.8037849068641663,0.6313581466674805,0.7416933178901672
8,0.6319863796234131,0.7975608706474304,0.6530823111534119,0.7521082758903503
9,0.6320978403091431,0.7950890064239502,0.6524338126182556,0.7283318042755127
